SetID,Number,Variant,Theme,SubTheme,Year,SetName,Minifigs,Pieces,UKPrice,USPrice,CAPrice,Image,ImageFilename,InstructionsAvailable,EAN,UPC
6135,"851591","1","Gear","Role-play toys","2007","Piraka Ball Shooter",,,,19.99,,"True","851591-1","False","",""
5899,"851617","1","Gear","Housewares","2007","LEGOville Zoo Dinner Set",,,8.99,14.99,,"True","851617-1","False","",""
6545,"851624","1","Gear","Clothing","2007","City Police Cap",,,7.49,,,"True","851624-1","False","",""
5940,"851625","1","Gear","Role-play toys","2007","Toy Police Badge",,,4.99,,,"True","851625-1","False","",""
6573,"851626","1","Gear","Key Chains/City","2008","Police Officer Key Chain",,,2.99,4.99,5.99,"True","851626-1","False","",""
5947,"851627","1","Gear","Key Chains/Miscellaneous","2007","Key Chain Name Kit",,,2.99,4.99,,"True","851627-1","False","",""
5932,"851641","1","Gear","Trading/Playing cards","2007","City Memory Game",,,6.49,7.99,,"True","851641-1","False","",""
6149,"851648","1","Gear","Stationery","2007","Magnetic Notepad",,,,4.99,,"True","851648-1","False","",""
6709,"851652","1","Gear","Housewares","2007","Corkscrew & Bottle Opener",,,6.99,,,"True","851652-1","False","",""
6686,"851659","1","Gear","Key Chains/Star Wars","2008","Boba Fett Keyring",,,2.99,4.99,5.49,"True","851659-1","False","",""
6722,"851680","1","Gear","Seasonal","2007","Santa Gift Wrap and Tags",,,1.95,,,"True","851680-1","False","",""
6481,"851683","1","Gear","Key Chains/Star Wars","2006","Imperial Royal Guard Keyring",,,2.95,4.99,,"True","851683-1","False","",""
6743,"851686","1","Gear","Key Chains/Batman","2007","Batman Keyring",,,2.99,,,"True","851686-1","False","",""
5832,"851687","1","Gear","Key Chains/Batman","2007","Robin Key Chain",,,2.99,3.99,,"True","851687-1","False","",""
5831,"851689","1","Gear","Magnets/Batman","2007","Catwoman Minifigure Magnet Set",,,7.49,12.99,,"True","851689-1","False","",""
22411,"851734","1","Gear","Key Chains/Castle","2005","King Jayko",,,,,,"True","851734-1","False","",""
6037,"851757","1","Gear","Role-play toys","2007","Fire Extinguisher",,,4.99,,,"True","851757-1","False","",""
6742,"851814","1","Gear","Key Chains/Batman","2007","The Joker Keyring",,,2.99,,,"True","851814-1","False","",""
6741,"851815","1","Gear","Key Chains/Batman","2007","Catwoman Keyring",,,2.99,,,"True","851815-1","False","",""
6136,"851821","1","Gear","Role-play toys","2007","Exo-Force Blaster",,,,14.99,,"True","851821-1","False","",""
6132,"851831","1","Gear","Role-play toys","2007","Viking Helmet",,,,,,"True","851831-1","False","",""
6137,"851836","1","Gear","Magnets/Exo-Force","2007","Exo-Force Magnet Set",,,,12.99,,"True","851836-1","False","",""
5888,"851838","1","Gear","Key Chains/SpongeBob SquarePants","2007","SpongeBob Key Chain",,,2.99,4.99,,"True","851838-1","False","",""
5889,"851839","1","Gear","Key Chains/SpongeBob SquarePants","2007","Patrick Key Chain",,,2.99,4.99,,"True","851839-1","False","",""
6723,"851841","1","Gear","Seasonal","2007","Gift Wrap Santa Mini-Figure & Tree",,,1.95,,,"True","851841-1","False","",""
6710,"851846","1","Gear","Housewares","2007","Coaster Set",,,7.35,,,"True","851846-1","False","",""
6721,"851847","1","Gear","Board Games","2007","Ludo with Mini-Figures",,,24.99,,,"True","851847-1","False","",""
6720,"851848","1","Gear","Board Games","2007","Tic Tac Toe",,,9.79,,,"True","851848-1","False","",""
5890,"851853","1","Gear","Key Chains/SpongeBob SquarePants","2007","Mr. Krabs Key Chain",,,2.95,3.99,,"True","851853-1","False","",""
5894,"851854","1","Gear","Magnets/SpongeBob SquarePants","2007","SpongeBob Minifigure Magnet Set",,,7.49,12.99,,"True","851854-1","False","",""
6712,"851855","1","Gear","Stationery","2007","Classic LEGO Gift Wrap",,,,,,"True","851855-1","False","",""
6139,"851868","1","Gear","Role-play toys","2007","Princess Crown",,,,7.99,,"True","851868-1","False","",""
5930,"851873","1","Gear","Role-play toys","2007","Picnic Tea Set",,,,,,"True","851873-1","False","",""
5910,"851875","1","Gear","Role-play toys","2007","Sword Takadox",,,3.99,9.99,,"True","851875-1","False","",""
6134,"851876","1","Gear","Role-play toys","2007","Takadox Mask",,,,9.99,,"True","851876-1","False","",""
5929,"851877","1","Gear","Role-play toys","2007","Barraki Pump Action Water Gun",,,12.99,24.99,,"True","851877-1","False","",""
5909,"851878","1","Gear","Role-play toys","2007","Splashy Barraki Squid",,,3.99,7.99,,"True","851878-1","False","",""
5908,"851893","1","Gear","Role-play toys","2007","Exo-Force Rocket Launcher",,,9.99,16.99,,"True","851893-1","False","",""
5959,"851894","1","Gear","Role-play toys","2007","King's Sword",,,4.89,9.99,,"True","851894-1","False","",""
5927,"851895","1","Gear","Role-play toys","2007","King's Cape with Fur",,,8.99,14.99,,"True","851895-1","False","",""
5928,"851896","1","Gear","Role-play toys","2007","King's Crown",,,6.85,12.99,,"True","851896-1","False","",""
5911,"851897","1","Gear","Housewares","2007","Fire Department Drinking Bottle",,,5.99,,,"True","851897-1","False","",""
5912,"851898","1","Gear","Role-play toys","2007","Fire Axe",,,3.99,,,"True","851898-1","False","",""
5913,"851899","1","Gear","Role-play toys","2007","City Police Flashlight",,,4.89,9.99,,"True","851899-1","False","",""
5914,"851901","1","Gear","Role-play toys","2007","City Police Megaphone",,,6.85,11.99,,"True","851901-1","False","",""
5904,"851902","1","Gear","Role-play toys","2007","City Police Investigator Set",,,7.79,14.99,,"True","851902-1","False","",""
5905,"851903","1","Gear","Bags","2007","LEGO Brick Backpack Blue",,,13.69,19.99,,"True","851903-1","False","",""
5922,"851904","1","Gear","Bags","2007","Brick Wallet Blue",,,4.99,6.99,,"True","851904-1","False","",""
5923,"851905","1","Gear","Bags","2007","LEGO Brick Sports Bag Blue",,,14.65,24.99,,"True","851905-1","False","",""
6038,"851906","1","Gear","Stationery","2007","Activity Planner",,,7.99,,,"True","851906-1","False","",""
5925,"851908","1","Gear","Housewares","2007","Key Rack",,,12.69,19.99,,"True","851908-1","False","","673419094894"
